date,product,category,quantity,revenue,profit
2024-01-01,Laptop,Electronics,5,5000,1000
2024-01-02,Phone,Electronics,10,8000,2000
2024-01-03,Desk,Furniture,3,450,150
2024-01-04,Chair,Furniture,5,750,250
2024-01-05,Tablet,Electronics,7,3500,700
2024-01-06,Monitor,Electronics,8,4000,800
2024-01-07,Bookcase,Furniture,2,600,120
2024-01-08,Laptop,Electronics,4,4000,800
2024-01-09,Phone,Electronics,6,4800,1200
2024-01-10,Desk,Furniture,2,300,100
2024-01-11,Chair,Furniture,4,600,200
2024-01-12,Tablet,Electronics,5,2500,500
2024-01-13,Monitor,Electronics,3,1500,300
2024-01-14,Bookcase,Furniture,1,300,60
2024-01-15,Laptop,Electronics,6,6000,1200
2024-01-16,Phone,Electronics,8,6400,1600
2024-01-17,Desk,Furniture,3,450,150
2024-01-18,Chair,Furniture,5,750,250
2024-01-19,Tablet,Electronics,6,3000,600
2024-01-20,Monitor,Electronics,7,3500,700
2024-01-21,Bookcase,Furniture,2,600,120
2024-01-22,Laptop,Electronics,5,5000,1000
2024-01-23,Phone,Electronics,9,7200,1800
2024-01-24,Desk,Furniture,4,600,200
2024-01-25,Chair,Furniture,6,900,300
2024-01-26,Tablet,Electronics,4,2000,400
2024-01-27,Monitor,Electronics,6,3000,600
2024-01-28,Bookcase,Furniture,1,300,60
2024-01-29,Laptop,Electronics,3,3000,600
2024-01-30,Phone,Electronics,7,5600,1400
